date	time	relative time [s]	Cn [P/cm^3]	none	X50(V) [micro-m]	none	
12/13/2016	2:16:19 PM	79.19	25341.578125	NaN	1.077127	NaN	
12/13/2016	2:16:20 PM	79.92	18369.755859	NaN	2.056494	NaN	
12/13/2016	2:16:21 PM	81.12	15698.704102	NaN	0.592229	NaN	
12/13/2016	2:16:22 PM	81.81	21597.156250	NaN	0.494850	NaN	
12/13/2016	2:16:23 PM	83.11	21249.044922	NaN	1.352620	NaN	
12/13/2016	2:16:24 PM	83.78	23222.886719	NaN	0.987793	NaN	
12/13/2016	2:16:25 PM	85.02	20551.175781	NaN	1.427852	NaN	
12/13/2016	2:16:26 PM	85.67	20125.791016	NaN	1.049603	NaN	
12/13/2016	2:16:27 PM	86.94	14672.648437	NaN	0.779395	NaN	
12/13/2016	2:16:28 PM	88.12	29313.833984	NaN	0.716712	NaN	
12/13/2016	2:16:29 PM	88.80	21250.269531	NaN	0.728077	NaN	
12/13/2016	2:16:30 PM	90.06	26573.609375	NaN	0.930363	NaN	
12/13/2016	2:16:31 PM	90.73	24482.292969	NaN	1.496149	NaN	
12/13/2016	2:16:32 PM	91.95	21241.253906	NaN	0.985031	NaN	
12/13/2016	2:16:33 PM	92.83	17632.486328	NaN	1.663634	NaN	
12/13/2016	2:16:34 PM	93.89	19163.941406	NaN	0.988376	NaN	
12/13/2016	2:16:35 PM	95.12	12823.894531	NaN	1.044283	NaN	
12/13/2016	2:16:36 PM	95.83	21418.044922	NaN	0.894728	NaN	
12/13/2016	2:16:37 PM	97.06	19336.203125	NaN	1.099267	NaN	
12/13/2016	2:16:38 PM	97.73	19262.197266	NaN	1.688236	NaN	
12/13/2016	2:16:39 PM	99.06	21997.195312	NaN	1.237345	NaN	
12/13/2016	2:16:40 PM	99.72	22789.671875	NaN	0.985900	NaN	
12/13/2016	2:16:41 PM	100.95	27262.177734	NaN	1.553738	NaN	
12/13/2016	2:16:42 PM	102.19	20926.201172	NaN	0.670507	NaN	
12/13/2016	2:16:43 PM	102.83	23536.765625	NaN	0.867649	NaN	
12/13/2016	2:16:44 PM	104.14	17525.011719	NaN	1.449495	NaN	
12/13/2016	2:16:45 PM	104.87	19974.615234	NaN	1.381319	NaN	
12/13/2016	2:16:46 PM	106.12	22339.447266	NaN	0.759660	NaN	
12/13/2016	2:16:47 PM	106.80	19504.027344	NaN	1.038860	NaN	
12/13/2016	2:16:48 PM	108.12	15474.678711	NaN	0.810619	NaN	
12/13/2016	2:16:49 PM	108.80	22828.496094	NaN	0.838108	NaN	
12/13/2016	2:16:50 PM	110.11	22504.326172	NaN	1.215993	NaN	
12/13/2016	2:16:51 PM	110.75	21386.380859	NaN	0.790847	NaN	
12/13/2016	2:16:52 PM	112.05	24937.019531	NaN	2.062387	NaN	
12/13/2016	2:16:53 PM	112.73	18059.673828	NaN	0.805381	NaN	
12/13/2016	2:16:54 PM	113.97	20208.820312	NaN	0.819477	NaN	
12/13/2016	2:16:55 PM	114.89	19681.050781	NaN	0.708735	NaN	
12/13/2016	2:16:56 PM	115.91	20089.160156	NaN	0.915498	NaN	
12/13/2016	2:16:57 PM	117.17	24558.958984	NaN	0.921115	NaN	
12/13/2016	2:16:58 PM	117.87	20940.347656	NaN	0.963683	NaN	
12/13/2016	2:16:59 PM	119.09	24485.472656	NaN	0.837244	NaN	
12/13/2016	2:17:00 PM	119.75	22306.128906	NaN	0.819261	NaN	
12/13/2016	2:17:01 PM	121.06	19196.935547	NaN	0.922520	NaN	
12/13/2016	2:17:02 PM	121.72	18750.369141	NaN	1.544730	NaN	
12/13/2016	2:17:03 PM	122.95	19027.494141	NaN	1.254311	NaN	
12/13/2016	2:17:04 PM	124.22	18288.332031	NaN	1.409271	NaN	
12/13/2016	2:17:05 PM	124.87	23809.582031	NaN	1.360873	NaN	
12/13/2016	2:17:06 PM	126.12	24057.421875	NaN	0.492187	NaN	
12/13/2016	2:17:07 PM	126.81	21363.699219	NaN	0.831577	NaN	
12/13/2016	2:17:08 PM	128.06	26805.005859	NaN	0.391416	NaN	
12/13/2016	2:17:09 PM	128.73	20675.652344	NaN	1.294971	NaN	
12/13/2016	2:17:10 PM	129.98	19259.886719	NaN	1.315264	NaN	
12/13/2016	2:17:11 PM	130.91	29223.751953	NaN	0.827205	NaN	
12/13/2016	2:17:12 PM	131.92	26080.185547	NaN	0.908554	NaN	
12/13/2016	2:17:13 PM	133.16	21285.921875	NaN	2.456000	NaN	
12/13/2016	2:17:14 PM	133.86	19669.500000	NaN	1.133514	NaN	
12/13/2016	2:17:15 PM	135.11	23449.615234	NaN	0.999619	NaN	
12/13/2016	2:17:16 PM	135.77	17633.386719	NaN	1.822908	NaN	
12/13/2016	2:17:17 PM	137.08	22380.654297	NaN	0.473845	NaN	
12/13/2016	2:17:18 PM	137.67	17236.591797	NaN	1.158034	NaN	
12/13/2016	2:17:19 PM	138.95	23087.138672	NaN	0.934903	NaN	
12/13/2016	2:17:20 PM	140.23	23555.468750	NaN	0.415713	NaN	
12/13/2016	2:17:21 PM	140.92	21523.121094	NaN	1.254730	NaN	
12/13/2016	2:17:22 PM	142.20	15736.290039	NaN	1.109602	NaN	
12/13/2016	2:17:23 PM	142.87	21647.712891	NaN	0.479835	NaN	
12/13/2016	2:17:24 PM	144.17	17197.048828	NaN	1.266613	NaN	
12/13/2016	2:17:25 PM	144.83	22681.607422	NaN	0.732041	NaN	
12/13/2016	2:17:26 PM	146.12	23217.615234	NaN	0.993714	NaN	
12/13/2016	2:17:27 PM	146.83	18854.220703	NaN	1.180954	NaN	
12/13/2016	2:17:28 PM	148.11	22153.468750	NaN	1.186306	NaN	
12/13/2016	2:17:29 PM	148.80	23331.945312	NaN	1.667839	NaN	
12/13/2016	2:17:30 PM	150.12	17568.986328	NaN	1.134477	NaN	
12/13/2016	2:17:31 PM	150.77	21976.658203	NaN	0.363034	NaN	
12/13/2016	2:17:32 PM	152.11	23940.445312	NaN	1.549776	NaN	
12/13/2016	2:17:33 PM	152.75	23326.333984	NaN	0.931941	NaN	
12/13/2016	2:17:34 PM	154.02	25667.980469	NaN	0.976011	NaN	
12/13/2016	2:17:35 PM	155.23	19177.013672	NaN	1.247423	NaN	
12/13/2016	2:17:36 PM	155.94	24695.837891	NaN	1.153952	NaN	
12/13/2016	2:17:37 PM	157.27	19241.806641	NaN	1.341036	NaN	
12/13/2016	2:17:38 PM	157.87	23287.927734	NaN	0.997957	NaN	
12/13/2016	2:17:39 PM	159.14	24909.615234	NaN	0.943824	NaN	
12/13/2016	2:17:40 PM	159.84	23044.980469	NaN	0.565327	NaN	
12/13/2016	2:17:41 PM	161.16	18950.941406	NaN	1.356658	NaN	
12/13/2016	2:17:42 PM	161.80	22697.224609	NaN	1.120321	NaN	
12/13/2016	2:17:43 PM	163.09	19144.955078	NaN	0.855491	NaN	
12/13/2016	2:17:44 PM	163.72	21360.673828	NaN	0.798157	NaN	
12/13/2016	2:17:45 PM	165.05	16696.707031	NaN	0.874662	NaN	
12/13/2016	2:17:46 PM	165.78	21426.986328	NaN	0.965064	NaN	
12/13/2016	2:17:47 PM	167.12	17206.488281	NaN	0.934683	NaN	
12/13/2016	2:17:48 PM	167.77	19608.716797	NaN	1.292866	NaN	
12/13/2016	2:17:49 PM	169.06	15756.867187	NaN	1.437550	NaN	
12/13/2016	2:17:50 PM	169.80	18058.412109	NaN	1.291505	NaN	
12/13/2016	2:17:51 PM	171.06	19302.769531	NaN	0.884433	NaN	
12/13/2016	2:17:52 PM	171.72	26483.375000	NaN	1.635039	NaN	
12/13/2016	2:17:53 PM	173.02	22303.687500	NaN	0.352823	NaN	
12/13/2016	2:17:54 PM	174.22	22578.423828	NaN	2.081212	NaN	
12/13/2016	2:17:55 PM	174.92	21830.363281	NaN	1.161858	NaN	
12/13/2016	2:17:56 PM	176.27	17752.292969	NaN	0.953409	NaN	
12/13/2016	2:17:57 PM	176.91	23082.671875	NaN	1.381051	NaN	
12/13/2016	2:17:58 PM	178.16	25255.052734	NaN	1.199153	NaN	
12/13/2016	2:17:59 PM	178.86	20453.507812	NaN	1.400956	NaN	
12/13/2016	2:18:00 PM	180.16	22209.953125	NaN	1.033707	NaN	
12/13/2016	2:18:01 PM	180.83	18122.037109	NaN	1.006472	NaN	
