date	time	relative time [s]	Cn [P/cm^3]	none	X50(V) [micro-m]	none	
12/13/2016	11:48:13 AM	786.52	0.000000	NaN	NaN	NaN	
12/13/2016	11:48:23 AM	796.48	4.234550	NaN	0.284057	NaN	
12/13/2016	11:48:33 AM	806.52	0.000000	NaN	NaN	NaN	
12/13/2016	11:48:43 AM	816.48	0.000000	NaN	NaN	NaN	
12/13/2016	11:48:53 AM	826.47	0.000000	NaN	NaN	NaN	
12/13/2016	11:49:02 AM	835.61	4.694119	NaN	0.437427	NaN	
12/13/2016	11:49:12 AM	845.56	0.000000	NaN	NaN	NaN	
12/13/2016	11:49:22 AM	855.53	0.000000	NaN	NaN	NaN	
12/13/2016	11:49:32 AM	865.53	0.000000	NaN	NaN	NaN	
12/13/2016	11:49:41 AM	874.66	4.704534	NaN	0.284057	NaN	
12/13/2016	11:49:51 AM	884.64	0.000000	NaN	NaN	NaN	
12/13/2016	11:50:01 AM	894.64	0.000000	NaN	NaN	NaN	
12/13/2016	11:50:11 AM	904.66	0.000000	NaN	NaN	NaN	
12/13/2016	11:50:21 AM	914.66	0.000000	NaN	NaN	NaN	
12/13/2016	11:50:31 AM	924.69	0.000000	NaN	NaN	NaN	
12/13/2016	11:50:41 AM	934.70	0.000000	NaN	NaN	NaN	
12/13/2016	11:50:51 AM	944.70	0.000000	NaN	NaN	NaN	
12/13/2016	11:51:01 AM	954.73	0.000000	NaN	NaN	NaN	
12/13/2016	11:51:11 AM	964.53	0.000000	NaN	NaN	NaN	
12/13/2016	11:51:20 AM	973.73	0.000000	NaN	NaN	NaN	
12/13/2016	11:51:30 AM	983.55	0.000000	NaN	NaN	NaN	
12/13/2016	11:51:39 AM	992.75	0.000000	NaN	NaN	NaN	
12/13/2016	11:51:49 AM	1002.56	0.000000	NaN	NaN	NaN	
12/13/2016	11:51:58 AM	1011.77	0.000000	NaN	NaN	NaN	
12/13/2016	11:52:08 AM	1021.59	0.000000	NaN	NaN	NaN	
12/13/2016	11:52:18 AM	1031.64	0.000000	NaN	NaN	NaN	
12/13/2016	11:52:28 AM	1041.69	0.000000	NaN	NaN	NaN	
12/13/2016	11:52:38 AM	1051.77	0.000000	NaN	NaN	NaN	
12/13/2016	11:52:48 AM	1061.61	0.000000	NaN	NaN	NaN	
12/13/2016	11:52:57 AM	1070.77	0.000000	NaN	NaN	NaN	
12/13/2016	11:53:07 AM	1080.64	0.000000	NaN	NaN	NaN	
12/13/2016	11:53:17 AM	1090.69	0.000000	NaN	NaN	NaN	
12/13/2016	11:53:27 AM	1100.72	0.000000	NaN	NaN	NaN	
12/13/2016	11:53:37 AM	1110.78	0.000000	NaN	NaN	NaN	
12/13/2016	11:53:47 AM	1120.62	0.000000	NaN	NaN	NaN	
12/13/2016	11:53:56 AM	1129.78	0.000000	NaN	NaN	NaN	
12/13/2016	11:54:06 AM	1139.66	0.000000	NaN	NaN	NaN	
12/13/2016	11:54:16 AM	1148.81	0.000000	NaN	NaN	NaN	
12/13/2016	11:54:26 AM	1158.81	4.227014	NaN	0.407058	NaN	
12/13/2016	11:54:36 AM	1168.80	0.000000	NaN	NaN	NaN	
12/13/2016	11:54:45 AM	1178.77	0.000000	NaN	NaN	NaN	
12/13/2016	11:54:55 AM	1188.73	0.000000	NaN	NaN	NaN	
12/13/2016	11:55:05 AM	1198.72	4.232460	NaN	0.314623	NaN	
12/13/2016	11:55:15 AM	1208.69	0.000000	NaN	NaN	NaN	
12/13/2016	11:55:26 AM	1218.84	0.000000	NaN	NaN	NaN	
12/13/2016	11:55:36 AM	1228.86	0.000000	NaN	NaN	NaN	
12/13/2016	11:55:46 AM	1238.83	0.000000	NaN	NaN	NaN	
12/13/2016	11:55:56 AM	1248.80	0.000000	NaN	NaN	NaN	
12/13/2016	11:56:06 AM	1258.81	0.000000	NaN	NaN	NaN	
12/13/2016	11:56:16 AM	1268.83	0.000000	NaN	NaN	NaN	
12/13/2016	11:56:26 AM	1278.83	0.000000	NaN	NaN	NaN	
12/13/2016	11:56:36 AM	1288.84	4.191232	NaN	0.978623	NaN	
12/13/2016	11:56:46 AM	1298.80	4.225696	NaN	0.437427	NaN	
12/13/2016	11:56:55 AM	1307.94	0.000000	NaN	NaN	NaN	
