date	time	relative time [s]	Cn [P/cm^3]	none	X50(V) [micro-m]	none	
12/13/2016	11:36:26 AM	79.00	192342.453125	NaN	0.305310	NaN	
12/13/2016	11:36:27 AM	80.00	191952.984375	NaN	0.303131	NaN	
12/13/2016	11:36:28 AM	81.02	184746.187500	NaN	3.177320	NaN	
12/13/2016	11:36:29 AM	82.02	181872.484375	NaN	0.352662	NaN	
12/13/2016	11:36:30 AM	83.06	175841.875000	NaN	1.510444	NaN	
12/13/2016	11:36:31 AM	84.08	163056.593750	NaN	1.813967	NaN	
12/13/2016	11:36:32 AM	84.97	145947.265625	NaN	0.796298	NaN	
12/13/2016	11:36:33 AM	86.14	146723.390625	NaN	0.664392	NaN	
12/13/2016	11:36:34 AM	87.02	141140.265625	NaN	2.584598	NaN	
12/13/2016	11:36:35 AM	88.02	130668.125000	NaN	2.744727	NaN	
12/13/2016	11:36:36 AM	89.02	120640.773437	NaN	0.348457	NaN	
12/13/2016	11:36:37 AM	90.20	120733.125000	NaN	0.453705	NaN	
12/13/2016	11:36:38 AM	91.03	103128.414062	NaN	0.315706	NaN	
12/13/2016	11:36:39 AM	92.11	105356.234375	NaN	0.309567	NaN	
12/13/2016	11:36:40 AM	93.00	101159.554687	NaN	1.782946	NaN	
12/13/2016	11:36:41 AM	94.19	103665.687500	NaN	0.314873	NaN	
12/13/2016	11:36:42 AM	95.16	103401.296875	NaN	0.322496	NaN	
12/13/2016	11:36:43 AM	96.34	81105.914062	NaN	1.440124	NaN	
12/13/2016	11:36:44 AM	97.27	60561.628906	NaN	1.173338	NaN	
12/13/2016	11:36:45 AM	98.12	76354.484375	NaN	1.665699	NaN	
12/13/2016	11:36:46 AM	99.03	67556.375000	NaN	0.605010	NaN	
12/13/2016	11:36:47 AM	100.47	63378.898437	NaN	1.302177	NaN	
12/13/2016	11:36:48 AM	101.05	58931.578125	NaN	0.902053	NaN	
12/13/2016	11:36:49 AM	102.22	49056.792969	NaN	0.709215	NaN	
12/13/2016	11:36:50 AM	103.37	55989.523437	NaN	0.792509	NaN	
12/13/2016	11:36:51 AM	104.05	52576.550781	NaN	1.138363	NaN	
12/13/2016	11:36:52 AM	105.42	49639.683594	NaN	0.942316	NaN	
12/13/2016	11:36:53 AM	106.22	43093.390625	NaN	1.022590	NaN	
12/13/2016	11:36:54 AM	107.03	48189.691406	NaN	1.038243	NaN	
12/13/2016	11:36:55 AM	108.61	38292.160156	NaN	0.808350	NaN	
12/13/2016	11:36:56 AM	109.45	43995.558594	NaN	1.917639	NaN	
12/13/2016	11:36:57 AM	110.39	39516.953125	NaN	1.498451	NaN	
12/13/2016	11:36:58 AM	111.50	33635.808594	NaN	0.959869	NaN	
12/13/2016	11:36:59 AM	112.66	28411.992187	NaN	1.322876	NaN	
12/13/2016	11:37:01 AM	113.92	32273.626953	NaN	2.402025	NaN	
12/13/2016	11:37:02 AM	115.06	28971.710937	NaN	1.166344	NaN	
12/13/2016	11:37:03 AM	116.39	29933.037109	NaN	1.172603	NaN	
12/13/2016	11:37:04 AM	117.75	24895.101562	NaN	1.408740	NaN	
12/13/2016	11:37:06 AM	119.19	22050.341797	NaN	1.002086	NaN	
12/13/2016	11:37:07 AM	120.78	22047.710937	NaN	1.142049	NaN	
12/13/2016	11:37:09 AM	122.52	23755.771484	NaN	1.004130	NaN	
12/13/2016	11:37:10 AM	123.42	23685.552734	NaN	1.343864	NaN	
12/13/2016	11:37:12 AM	125.64	24316.441406	NaN	1.719578	NaN	
12/13/2016	11:37:14 AM	126.86	18368.291016	NaN	1.004437	NaN	
12/13/2016	11:37:14 AM	127.11	18310.103516	NaN	1.476670	NaN	
12/13/2016	11:37:16 AM	128.87	17640.615234	NaN	1.151098	NaN	
12/13/2016	11:37:17 AM	129.89	15080.577148	NaN	0.485564	NaN	
12/13/2016	11:37:17 AM	130.61	17390.462891	NaN	1.608929	NaN	
12/13/2016	11:37:18 AM	131.36	16207.547852	NaN	1.796424	NaN	
12/13/2016	11:37:19 AM	132.00	13060.028320	NaN	0.577052	NaN	
12/13/2016	11:37:20 AM	133.17	17259.423828	NaN	1.086164	NaN	
12/13/2016	11:37:21 AM	134.06	15490.251953	NaN	0.653884	NaN	
12/13/2016	11:37:22 AM	135.03	18210.189453	NaN	0.874530	NaN	
12/13/2016	11:37:23 AM	136.11	18055.277344	NaN	1.307751	NaN	
12/13/2016	11:37:24 AM	137.55	13680.631836	NaN	0.745125	NaN	
12/13/2016	11:37:25 AM	138.22	17584.550781	NaN	1.109948	NaN	
12/13/2016	11:37:26 AM	139.16	15656.479492	NaN	0.794583	NaN	
12/13/2016	11:37:27 AM	140.23	14463.931641	NaN	1.946418	NaN	
12/13/2016	11:37:28 AM	141.33	15540.742187	NaN	0.716822	NaN	
12/13/2016	11:37:29 AM	142.20	14354.335937	NaN	1.413811	NaN	
12/13/2016	11:37:30 AM	143.30	14930.371094	NaN	1.592542	NaN	
12/13/2016	11:37:31 AM	144.17	15085.056641	NaN	1.243910	NaN	
12/13/2016	11:37:32 AM	145.06	12717.035156	NaN	0.900987	NaN	
12/13/2016	11:37:33 AM	146.14	17395.814453	NaN	0.744692	NaN	
12/13/2016	11:37:34 AM	147.22	18566.316406	NaN	1.510199	NaN	
12/13/2016	11:37:35 AM	148.06	14341.324219	NaN	1.107054	NaN	
12/13/2016	11:37:36 AM	149.14	10791.305664	NaN	0.979439	NaN	
12/13/2016	11:37:37 AM	150.23	12468.307617	NaN	1.194626	NaN	
12/13/2016	11:37:38 AM	151.11	11936.633789	NaN	1.050403	NaN	
12/13/2016	11:37:39 AM	152.00	13806.958008	NaN	0.785201	NaN	
12/13/2016	11:37:40 AM	153.48	11219.819336	NaN	0.437272	NaN	
12/13/2016	11:37:41 AM	153.98	14281.519531	NaN	1.050318	NaN	
