date	time	relative time [s]	Cn [P/cm^3]	none	X50(V) [micro-m]	none	
12/13/2016	11:36:26 AM	79.00	85152.289062	NaN	0.323937	NaN	
12/13/2016	11:36:27 AM	80.00	82760.375000	NaN	0.321816	NaN	
12/13/2016	11:36:28 AM	81.02	69430.273437	NaN	3.205114	NaN	
12/13/2016	11:36:29 AM	82.02	77924.835937	NaN	0.919479	NaN	
12/13/2016	11:36:30 AM	83.06	77312.601562	NaN	1.868415	NaN	
12/13/2016	11:36:31 AM	84.08	75942.328125	NaN	1.879342	NaN	
12/13/2016	11:36:32 AM	84.97	65361.941406	NaN	1.696055	NaN	
12/13/2016	11:36:33 AM	86.14	61365.476562	NaN	1.807394	NaN	
12/13/2016	11:36:34 AM	87.02	55046.621094	NaN	2.622897	NaN	
12/13/2016	11:36:35 AM	88.02	53169.250000	NaN	2.769603	NaN	
12/13/2016	11:36:36 AM	89.02	52576.480469	NaN	0.772467	NaN	
12/13/2016	11:36:37 AM	90.20	54521.585937	NaN	1.386886	NaN	
12/13/2016	11:36:38 AM	91.03	44166.078125	NaN	0.340349	NaN	
12/13/2016	11:36:39 AM	92.11	45063.191406	NaN	0.337532	NaN	
12/13/2016	11:36:40 AM	93.00	41879.902344	NaN	1.826278	NaN	
12/13/2016	11:36:41 AM	94.19	39340.382812	NaN	0.350827	NaN	
12/13/2016	11:36:42 AM	95.16	50948.441406	NaN	0.339672	NaN	
12/13/2016	11:36:43 AM	96.34	30065.273437	NaN	1.491672	NaN	
12/13/2016	11:36:44 AM	97.27	28521.951172	NaN	1.194950	NaN	
12/13/2016	11:36:45 AM	98.12	39788.726562	NaN	1.693440	NaN	
12/13/2016	11:36:46 AM	99.03	32118.572266	NaN	0.669656	NaN	
12/13/2016	11:36:47 AM	100.47	29898.890625	NaN	1.375227	NaN	
12/13/2016	11:36:48 AM	101.05	28102.648437	NaN	1.173499	NaN	
12/13/2016	11:36:49 AM	102.22	24464.015625	NaN	1.003031	NaN	
12/13/2016	11:36:50 AM	103.37	26543.759766	NaN	0.857271	NaN	
12/13/2016	11:36:51 AM	104.05	25178.826172	NaN	1.163045	NaN	
12/13/2016	11:36:52 AM	105.42	23292.755859	NaN	1.491145	NaN	
12/13/2016	11:36:53 AM	106.22	23971.056641	NaN	1.258182	NaN	
12/13/2016	11:36:54 AM	107.03	22015.970703	NaN	1.070287	NaN	
12/13/2016	11:36:55 AM	108.61	18400.474609	NaN	0.918197	NaN	
12/13/2016	11:36:56 AM	109.45	20278.986328	NaN	1.933848	NaN	
12/13/2016	11:36:57 AM	110.39	20700.119141	NaN	1.527716	NaN	
12/13/2016	11:36:58 AM	111.50	16711.259766	NaN	0.978410	NaN	
12/13/2016	11:36:59 AM	112.66	16594.138672	NaN	1.357854	NaN	
12/13/2016	11:37:01 AM	113.92	18229.482422	NaN	2.408178	NaN	
12/13/2016	11:37:02 AM	115.06	17589.857422	NaN	1.204918	NaN	
12/13/2016	11:37:03 AM	116.39	16581.000000	NaN	1.187329	NaN	
12/13/2016	11:37:04 AM	117.75	12178.135742	NaN	1.659654	NaN	
12/13/2016	11:37:06 AM	119.19	13049.503906	NaN	1.011296	NaN	
12/13/2016	11:37:07 AM	120.78	13680.368164	NaN	1.164063	NaN	
12/13/2016	11:37:09 AM	122.52	14439.680664	NaN	1.015003	NaN	
12/13/2016	11:37:10 AM	123.42	14527.520508	NaN	1.356302	NaN	
12/13/2016	11:37:12 AM	125.64	11694.956055	NaN	1.732954	NaN	
12/13/2016	11:37:14 AM	126.86	12803.791992	NaN	1.014124	NaN	
12/13/2016	11:37:14 AM	127.11	11598.495117	NaN	1.484383	NaN	
12/13/2016	11:37:16 AM	128.87	11619.535156	NaN	1.158797	NaN	
12/13/2016	11:37:17 AM	129.89	10261.470703	NaN	0.618520	NaN	
12/13/2016	11:37:17 AM	130.61	10552.911133	NaN	1.615997	NaN	
12/13/2016	11:37:18 AM	131.36	9944.384766	NaN	1.805616	NaN	
12/13/2016	11:37:19 AM	132.00	7510.556152	NaN	0.593110	NaN	
12/13/2016	11:37:20 AM	133.17	9991.835937	NaN	1.107544	NaN	
12/13/2016	11:37:21 AM	134.06	8172.569824	NaN	0.788107	NaN	
12/13/2016	11:37:22 AM	135.03	10406.147461	NaN	0.886587	NaN	
12/13/2016	11:37:23 AM	136.11	11794.963867	NaN	1.317655	NaN	
12/13/2016	11:37:24 AM	137.55	10219.540039	NaN	0.751585	NaN	
12/13/2016	11:37:25 AM	138.22	12556.134766	NaN	1.114104	NaN	
12/13/2016	11:37:26 AM	139.16	9933.461914	NaN	1.164765	NaN	
12/13/2016	11:37:27 AM	140.23	10086.075195	NaN	1.952439	NaN	
12/13/2016	11:37:28 AM	141.33	10441.905273	NaN	0.739031	NaN	
12/13/2016	11:37:29 AM	142.20	10859.260742	NaN	1.416351	NaN	
12/13/2016	11:37:30 AM	143.30	9304.343750	NaN	1.601601	NaN	
12/13/2016	11:37:31 AM	144.17	11332.814453	NaN	1.247770	NaN	
12/13/2016	11:37:32 AM	145.06	9078.694336	NaN	0.905257	NaN	
12/13/2016	11:37:33 AM	146.14	9932.833984	NaN	0.792253	NaN	
12/13/2016	11:37:34 AM	147.22	11622.122070	NaN	1.518524	NaN	
12/13/2016	11:37:35 AM	148.06	10833.450195	NaN	1.122688	NaN	
12/13/2016	11:37:36 AM	149.14	7237.904785	NaN	0.989947	NaN	
12/13/2016	11:37:37 AM	150.23	8592.932617	NaN	1.201383	NaN	
12/13/2016	11:37:38 AM	151.11	9767.308594	NaN	1.054503	NaN	
12/13/2016	11:37:39 AM	152.00	8122.324707	NaN	0.807648	NaN	
12/13/2016	11:37:40 AM	153.48	6964.565430	NaN	0.488646	NaN	
12/13/2016	11:37:41 AM	153.98	7459.341797	NaN	1.058063	NaN	
12/13/2016	11:37:42 AM	155.06	7495.349121	NaN	0.854239	NaN	
12/13/2016	11:37:43 AM	156.14	10103.843750	NaN	1.275368	NaN	
12/13/2016	11:37:44 AM	157.22	8733.016602	NaN	0.774037	NaN	
12/13/2016	11:37:45 AM	158.31	9615.250000	NaN	1.255196	NaN	
12/13/2016	11:37:46 AM	159.14	9340.835937	NaN	1.359132	NaN	
12/13/2016	11:37:47 AM	160.44	7380.648926	NaN	1.021355	NaN	
12/13/2016	11:37:48 AM	161.30	8630.490234	NaN	1.167902	NaN	
12/13/2016	11:37:49 AM	162.19	9346.718750	NaN	0.838388	NaN	
12/13/2016	11:37:50 AM	163.06	11249.419922	NaN	1.041497	NaN	
12/13/2016	11:37:51 AM	164.12	10625.667969	NaN	1.157543	NaN	
12/13/2016	11:37:52 AM	165.20	8002.553711	NaN	0.935498	NaN	
12/13/2016	11:37:53 AM	166.05	9244.255859	NaN	1.159239	NaN	
12/13/2016	11:37:54 AM	167.31	7242.882324	NaN	2.426998	NaN	
12/13/2016	11:37:55 AM	168.17	8725.090820	NaN	1.661400	NaN	
12/13/2016	11:37:56 AM	169.27	8453.422852	NaN	0.668221	NaN	
12/13/2016	11:37:57 AM	170.14	11018.053711	NaN	1.218248	NaN	
12/13/2016	11:37:58 AM	171.41	7490.029297	NaN	0.795958	NaN	
12/13/2016	11:37:59 AM	172.30	9683.717773	NaN	1.164800	NaN	
12/13/2016	11:38:00 AM	173.19	10956.501953	NaN	0.830689	NaN	
12/13/2016	11:38:01 AM	174.27	7849.467773	NaN	0.810336	NaN	
12/13/2016	11:38:02 AM	175.34	10049.021484	NaN	0.753958	NaN	
